#interval	max_mem_used_MB	min_mem_available_MB	max_disk_space_used_GB	max_mem_utilization_percent	max_disk_space_utilization_percent	max_cpu_utilization_percent
189	476.40234375	488.0546875	110.253826141357	49.3959117217022	53.3709877438353	-
190	473.48828125	490.96875	110.421684265137	49.0937663273944	53.4522434623936	-
191	473.8203125	490.63671875	110.53833770752	49.1281930814375	53.5087123366412	83.0
192	492.35546875	472.1015625	110.700702667236	51.0500159983151	53.5873089584397	-
193	492.53125	471.92578125	110.817432403564	51.0682419269262	53.6438147645868	-
194	491.859375	472.59765625	110.971309661865	50.9985783775683	53.7183027125723	-
195	492.1875	472.26953125	111.122970581055	51.0326001109757	53.7917177888791	-
196	492.76953125	471.6875	111.256008148193	51.0929481857101	53.8561177885319	83.0
197	492.6328125	471.82421875	111.426345825195	51.078772463457	53.9385737938222	-
198	473.76953125	490.6875	111.559356689453	49.1229278131721	54.0029608673102	-
199	492.05078125	472.40625	111.706211090088	51.0184243887226	54.0740492339521	-
200	474.01953125	490.4375	111.884853363037	49.1488491338634	54.1605252764967	-
201	492.67578125	471.78125	112.006362915039	51.0832276904508	54.2193448661438	83.0
202	474.28125	490.17578125	112.18185043335	49.1759855164621	54.3042937746464	-
203	492.6484375	471.80859375	112.314521789551	51.0803925460002	54.3685165011819	-
204	474.4375	490.01953125	112.475730895996	49.1921863418941	54.4465536047039	-
205	476.16015625	488.296875	112.590785980225	49.3708004422825	54.5022487556581	-
206	474.33984375	490.1171875	112.7707862854	49.1820608259991	54.5893821860128	83.0
207	474.12890625	490.328125	112.939025878906	49.1601897116658	54.6708225640684	-
208	474.44140625	490.015625	113.083698272705	49.1925913625299	54.7408546783862	-
209	474.40625	490.05078125	113.222640991211	49.1889461768077	54.8081132070559	-
210	492.859375	471.59765625	113.329948425293	51.1022636603335	54.8600579236218	-
211	492.68359375	471.7734375	113.519638061523	51.0840377317224	54.9518817052056	83.0
212	474.328125	490.12890625	113.666027069092	49.1808457640917	55.0227447872609	-
213	492.8125	471.64453125	113.77677154541	51.0974034127039	55.0763532858966	-
214	494.390625	470.06640625	113.942138671875	51.2610317495676	55.1564031779382	-
215	474.1328125	490.32421875	114.09578704834	49.1605947323016	55.2307803302255	-
216	474.3046875	490.15234375	114.215576171875	49.1784156402769	55.2887671055401	83.0
217	492.7578125	471.69921875	114.35977935791	51.0917331238027	55.3585720886764	-
218	474.46484375	489.9921875	114.507564544678	49.1950214863447	55.4301110244914	-
219	474.015625	490.44140625	114.669357299805	49.1484441132276	55.5084306570442	-
220	492.578125	471.87890625	114.805572509766	51.0731021745558	55.5743688703088	-
221	474.6953125	489.76171875	114.939987182617	49.218917703857	55.6394354907466	83.0
222	493.0703125	471.38671875	115.074417114258	51.1241347746668	55.7045094975642	-
223	490.609375	473.84765625	115.199424743652	50.8689717741119	55.7650224148007	-
224	474.3671875	490.08984375	115.363704681396	49.1848959704497	55.8445460272753	-
225	474.30859375	490.1484375	115.527919769287	49.1788206609127	55.9240382476353	-
226	474.3125	490.14453125	115.653774261475	49.1792256815485	55.9849611089556	83.0
227	474.28125	490.17578125	115.79761505127	49.1759855164621	56.0545906655695	-
228	492.7109375	471.74609375	115.929920196533	51.086872876173	56.1186361189877	-
229	492.8046875	471.65234375	116.088157653809	51.0965933714323	56.1952347250264	-
230	474.33203125	490.125	116.269104003906	49.1812507847275	56.2828261109342	-
231	474.3125	490.14453125	116.433662414551	49.1792256815485	56.3624845248417	83.0
232	474.35546875	490.1015625	116.554969787598	49.1836809085423	56.4212062449552	-
233	492.984375	471.47265625	116.721858978271	51.1152243206791	56.5019929283907	-
234	474.43359375	490.0234375	116.828884124756	49.1917813212583	56.5538009969286	-
235	492.99609375	471.4609375	116.993167877197	51.1164393825865	56.6333264559981	-
236	474.8046875	489.65234375	117.154048919678	49.2302582816595	56.7112047523525	83.0
237	492.6171875	471.83984375	117.299964904785	51.0771523809138	56.7818388566312	-
238	492.77734375	471.6796875	117.428974151611	51.0937582269817	56.8442888519935	-
239	492.9296875	471.52734375	117.573398590088	51.1095540317779	56.9142009376381	-
240	474.0	490.45703125	117.739345550537	49.1468240306844	56.9945315121155	-
241	493.01953125	471.4375	117.85799407959	51.1188695064014	57.0519661555335	83.0
242	493.15625	471.30078125	118.023624420166	51.1330452286544	57.1321434626282	-
243	474.42578125	490.03125	118.196598052979	49.1909712799867	57.2158754650442	-
244	474.640625	489.81640625	118.362335205078	49.2132474149558	57.2961044767981	-
245	495.37890625	469.078125	118.505176544189	51.3635019704254	57.3652502255293	-
246	492.96484375	471.4921875	118.653293609619	51.1131992175001	57.4369498151069	83.0
247	474.546875	489.91015625	118.799488067627	49.2035269196966	57.5077187208186	-
248	474.43359375	490.0234375	118.947910308838	49.1917813212583	57.579566037994	-
249	474.390625	490.06640625	119.110065460205	49.1873260942645	57.6580610970691	-
250	492.9375	471.51953125	119.231994628906	51.1103640730495	57.7170838121631	-
251	492.65625	471.80078125	119.374565124512	51.0812025872718	57.7860984526513	83.0
252	492.703125	471.75390625	119.500198364258	51.0860628349014	57.8469142114632	-
253	492.53125	471.92578125	119.646785736084	51.0682419269262	57.9178733164571	-
254	474.4609375	489.99609375	119.815673828125	49.1946164657089	57.9996276156579	-
255	474.43359375	490.0234375	119.974758148193	49.1917813212583	58.0766361657804	-
256	474.2890625	490.16796875	120.108383178711	49.1767955577337	58.141320541059	83.0
257	474.44140625	490.015625	120.265731811523	49.1925913625299	58.2174888904692	-
258	492.64453125	471.8125	120.395614624023	51.0799875253644	58.2803617560801	-
259	474.1484375	490.30859375	120.590274810791	49.1622148148448	58.3745916509126	-
260	492.78125	471.67578125	120.716331481934	51.0941632476175	58.4356123817664	-
261	492.5546875	471.90234375	120.854328155518	51.070672050741	58.502412954883	83.0
262	474.16015625	490.296875	121.031757354736	49.1634298767522	58.5883017802265	-
263	492.8046875	471.65234375	121.156467437744	51.0965933714323	58.6486706630552	-
264	474.3203125	490.13671875	121.316455841064	49.1800357228201	58.7261168561861	-
265	474.28125	490.17578125	121.475074768066	49.1759855164621	58.802900121722	-
266	474.3828125	490.07421875	121.607177734375	49.1865160529929	58.8668477056067	83.0
267	493.1640625	471.29296875	121.728294372559	51.133855269926	58.9254770959716	-
268	474.484375	489.97265625	121.887268066406	49.1970465895237	59.0024320948399	-
269	474.64453125	489.8125	122.025356292725	49.2136524355916	59.0692769862359	-
270	474.390625	490.06640625	122.194255828857	49.1873260942645	59.1510368252217	-
271	492.82421875	471.6328125	122.329963684082	51.0986184746113	59.216729441355	83.0
272	474.80078125	489.65625	122.466400146484	49.2298532610236	59.282774757128	-
